time,pm2.5,pm10,co,so2,no2,o3,aqi,aqi_6
23,150,260,1160,4,13,9,322,177
0,132,196,968,4,13,11,295,283
1,99,150,710,4,13,14,228,298
2,77,139,679,5,13,13,155,311
3,76,137,689,5,12,14,153,308
4,75,142,686,5,12,14,160,314
5,83,161,670,5,12,12,177,285
6,125,194,744,4,13,9,283,279
7,130,219,753,4,16,9,298,232
8,135,216,755,5,14,10,311,247
9,136,209,745,5,16,10,308,207
10,140,207,738,5,15,12,314,208
11,116,206,722,5,18,15,285,237
12,115,219,687,4,13,20,279,208
13,100,187,705,5,11,24,232,259
14,104,168,683,4,12,24,247,267
15,92,174,622,6,11,26,207,301
16,92,161,569,5,12,17,208,279
17,101,193,606,4,14,13,237,250
18,92,180,714,4,14,12,208,268
19,109,205,828,5,16,10,259,257
20,117,205,1001,5,20,10,267,226
21,134,225,984,4,14,11,301,298
22,123,227,1016,5,14,9,279,287
23,108,178,1113,5,14,12,258,277
0,111,178,1067,5,12,14,268,264
1,110,200,2359,4,15,9,257,220
2,100,199,2920,4,16,8,226,234
3,123,234,929,5,10,10,298,233
4,118,232,891,5,12,10,287,192
5,116,175,1246,5,18,10,277,217
6,110,211,1313,5,18,8,264,236
7,110,188,786,4,12,9,258,125
8,110,178,764,4,12,10,263,114
9,111,178,738,5,12,11,256,115
10,81,157,740,5,13,14,170,115
11,75,155,724,5,12,18,157,122
12,66,141,643,5,12,22,133,133
13,60,136,615,6,11,21,125,190
14,59,119,606,4,12,23,114,214
15,60,122,563,5,13,24,115,256
16,58,122,623,4,12,21,115,222
17,59,132,740,5,12,16,122,234
18,68,140,836,9,13,12,133,213
19,87,180,1111,4,14,11,190,269
20,91,203,1236,5,12,9,214,211
21,107,208,1230,6,15,8,256,201
22,93,233,1337,5,13,9,222,205
23,100,238,1416,5,10,11,222,203
0,92,192,1078,4,12,11,213,212
1,132,187,879,4,15,14,269,209
2,93,191,874,4,15,14,211,215
3,90,175,907,4,15,14,201,203
4,92,174,886,4,14,14,205,214
5,91,174,857,4,13,12,203,177
6,94,189,721,4,11,10,212,147
7,93,185,722,4,11,10,209,147
8,94,165,849,4,11,11,215,140
9,90,195,736,6,12,12,203,147
10,93,205,645,5,12,14,214,148
11,83,177,616,6,12,15,177,139
12,74,144,621,5,11,16,147,239
13,73,141,651,6,12,17,147,214
14,71,142,608,8,10,22,140,220
15,74,144,643,5,10,24,147,260
16,74,137,630,6,11,20,148,238
17,71,134,661,7,12,18,139,267
18,95,181,761,7,12,12,239,236
19,86,192,892,6,15,10,214,180
20,97,186,1050,5,15,10,220,180
21,109,215,1118,4,15,10,260,172
22,102,212,954,5,13,9,238,179
23,107,218,1001,4,15,10,253,177
0,96,194,838,4,11,12,216,166
1,84,166,779,5,12,13,180,182
2,84,162,735,4,13,13,180,179
3,82,162,750,4,12,13,172,220
4,84,162,763,5,12,14,179,197
5,83,162,756,4,11,12,177,184
6,80,147,783,4,11,10,166,174
7,85,147,739,4,10,11,182,186
8,84,142,689,5,10,11,179,160
9,96,170,726,4,12,12,220,140
10,89,177,711,4,12,11,197,143
11,84,193,683,4,12,13,184,155
12,82,182,686,5,11,17,174,201
13,83,188,660,5,12,18,186,184
14,77,158,756,5,11,20,160,203
15,69,151,701,6,11,20,140,223
16,71,152,693,6,12,16,143,297
17,74,156,688,5,12,20,155,224
18,90,188,779,4,13,13,201,223
19,84,180,780,6,15,15,184,248
20,91,178,976,5,14,11,203,182
21,97,189,1006,5,16,11,223,173
22,131,192,768,5,14,10,297,174
23,96,179,920,5,13,9,224,184
0,97,173,848,5,12,12,223,221
1,112,194,800,4,14,14,248,213
2,85,178,753,5,12,13,182,226
3,82,169,758,5,12,13,173,232
4,82,165,758,5,12,13,174,231
5,85,168,732,5,12,11,184,235
6,96,164,755,5,12,9,221,216
7,94,154,904,5,12,10,213,187
8,98,167,715,5,12,10,226,188
9,100,170,763,6,13,10,232,176
10,99,175,741,5,13,12,231,156
11,101,163,741,6,13,12,235,177
12,95,156,680,6,12,16,216,186
13,86,164,671,5,10,24,187,202
14,86,172,587,5,10,26,188,182
15,83,161,665,6,12,23,176,208
16,76,152,607,6,12,20,156,242
17,83,147,675,6,12,18,177,202
18,86,162,723,6,14,12,186,202
19,90,166,774,5,14,10,202,211
20,85,167,823,5,14,10,182,194
21,92,174,737,6,16,10,208,172
22,119,168,844,5,13,10,242,168
23,92,172,944,5,12,11,206,188
0,91,169,746,5,14,11,202,208
1,93,168,742,5,14,12,211,233
2,88,162,706,5,13,12,194,210
3,81,161,748,5,13,12,172,184
4,80,165,712,5,13,14,168,180
5,87,168,714,6,13,13,188,187
6,92,173,679,5,12,10,208,209
7,100,177,639,5,13,10,233,173
8,93,167,1024,6,14,10,210,174
9,85,154,639,5,14,10,184,156
10,84,150,1142,5,14,11,180,160
11,86,154,1208,6,12,12,187,157
12,93,156,642,8,12,16,209,146
13,82,153,629,6,12,23,173,177
14,82,157,578,5,11,22,174,268
15,74,144,589,5,12,23,156,298
16,77,144,600,5,13,20,160,300
17,77,130,637,5,13,18,157,287
18,72,132,718,5,13,12,146,286
19,83,142,885,5,14,10,177,192
20,111,178,1039,6,16,11,268,174
21,129,205,1215,5,16,10,298,198
22,126,209,1121,6,15,8,300,174
23,105,209,1026,5,12,10,256,178
0,96,176,925,6,10,10,218,170
1,84,160,764,5,12,12,180,186
2,83,160,769,5,12,12,178,208
3,83,160,776,5,12,12,177,168
4,82,158,821,5,13,13,174,213
5,84,160,782,5,13,12,178,194
6,81,161,734,4,14,10,170,196
7,86,155,723,4,13,10,186,158
8,90,156,760,6,11,11,208,152
9,81,153,754,5,11,11,168,146
